,Company,Rating,No_of_ratings,Review,Size,Processor,RAM,Memory,OpSys,Price,MRP,ImgURL
0,HP,4.2,253,20,36.0,AMD Ryzen 5 Hexa Core Processor,16,512 GB SSD,64 bit Windows 11 ,49990,59240,https://rukminim1.flixcart.com/image/312/312/l5fnhjk0/computer/c/p/c/14s-fy1005au-thin-and-light-laptop-hp-original-imagg4dgtu77mzye.jpeg?q=70
1,Lenovo,4.2,974,75,36.0,Intel Core i3 Processor (11th Gen),8,256 GB SSD,64 bit Windows 11 ,33990,60890,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/c/q/t/lenovo-na-thin-and-light-laptop-original-imafuzt873zgp9xe.jpeg?q=70
2,ASUS,4.4,5389,535,40.0,Intel Core i5 Processor (10th Gen),8,512 GB SSD,Windows 11 ,49990,70990,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/s/z/r/-original-imagetgzg4pgszmt.jpeg?q=70
3,DELL,4.1,332,26,40.0,Processor: Intel i3-1115G4 (Base- 1.7 GHz & Turbo up to 4.10 GHz) 2 Cores,8,"Display: 15.6"" FHD WVA AG Narrow Border",Graphics & Keyboard: Integrated & Standard Keyboard,37990,58489,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/x/o/u/-original-imaghkk994ybh4fh.jpeg?q=70
4,ASUS,4.2,487,53,40.0,Intel Core i3 Processor (11th Gen),8,512 GB SSD,64 bit Windows 11 ,35990,50990,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/t/h/-original-imagg6t9pauha4t7.jpeg?q=70
5,RedmiBook,4.1,4541,523,40.0,Intel Core i5 Processor (11th Gen),8,512 GB SSD,Windows 11 ,38990,59999,https://rukminim1.flixcart.com/image/312/312/kuwzssw0/computer/x/l/a/redmibook-15-pro-thin-and-light-laptop-redmi-original-imag7xhnakyazyma.jpeg?q=70
6,HP,4.6,9,1,40.0,Intel Core i3 Processor (11th Gen),8,512 GB SSD,64 bit Windows 11 ,34990,44253,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/9/v/w/245-g8-business-laptop-hp-original-imagn4bctguugysg.jpeg?q=70
7,Lenovo,4.3,2841,241,40.0,Intel Core i5 Processor (11th Gen),8,512 GB SSD,Windows 11 ,55990,83890,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/d/c/gaming-3-gaming-laptop-lenovo-original-imaghtkrg8rw6jtp.jpeg?q=70
8,HP,4.2,491,50,40.0,Intel Core i3 Processor (11th Gen),8,512 GB SSD,64 bit Windows 11 ,40450,50585,https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/e/i/d/15s-fr2511tu-thin-and-light-laptop-hp-original-imagg59a7s5kymvy.jpeg?q=70
9,ASUS,4.1,1022,123,36.0,Intel Celeron Dual Core Processor,4,256 GB SSD,64 bit Windows 11 ,23990,33990,https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70
